WigleWifi-1.4,appRelease=2.26,model=SM-A520F,release=7.0,device=a5y17lte,display=NRD90M.A520FXXU2BQIH,board=universal7880,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-11-09 15:07:13,1,-50,32.10412153042853,35.20739930681884,615,94,WIFI
ec:8c:a2:08:d7:68,Ariel_University,[ESS][BLE],2017-11-09 15:07:13,6,-62,32.10412153042853,35.20739930681884,615,94,WIFI
ec:8c:a2:09:86:d8,Ariel_University,[ESS][BLE],2017-11-09 15:07:13,6,-65,32.10412153042853,35.20739930681884,615,94,WIFI
ec:8c:a2:09:93:b8,Ariel_University,[ESS][BLE],2017-11-09 15:07:13,11,-70,32.10412153042853,35.20739930681884,615,94,WIFI
ec:8c:a2:09:93:bc,Ariel_University,[ESS][BLE],2017-11-09 15:07:13,48,-91,32.10412153042853,35.20739930681884,615,94,WIFI
ec:8c:a2:08:d7:6c,Ariel_University,[ESS][BLE],2017-11-09 15:07:13,58,-94,32.10412153042853,35.20739930681884,615,94,WIFI
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-11-09 15:07:13,6,-90,32.10412153042853,35.20739930681884,615,94,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-11-09 15:07:13,0,-103,32.10412153042853,35.20739930681884,615,94,GSM
ec:8c:a2:09:93:bc,Ariel_University,[ESS][BLE],2017-11-09 15:07:20,48,-85,32.10412676911801,35.20739712752402,615,94,WIFI
ec:8c:a2:08:a9:38,Ariel_University,[ESS][BLE],2017-11-09 15:07:20,6,-89,32.10412676911801,35.20739712752402,615,94,WIFI
ec:8c:a2:08:d7:6c,Ariel_University,[ESS][BLE],2017-11-09 15:07:20,58,-86,32.10412676911801,35.20739712752402,615,94,WIFI
ec:8c:a2:88:d7:67,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-09 15:07:31,58,-85,32.104122871533036,35.20741447806358,615,99,WIFI
ec:8c:a2:89:93:b7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-09 15:07:31,48,-87,32.104122871533036,35.20741447806358,615,99,WIFI
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-11-09 15:07:39,1,-45,32.104134229011834,35.2074636798352,613,91,WIFI
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-11-09 15:07:49,56,-91,32.10415786597878,35.207452699542046,612,89,WIFI
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-11-09 15:07:56,6,-85,32.1041714027524,35.20745295099914,612,91,WIFI
ec:8c:a2:09:93:b8,Ariel_University,[ESS][BLE],2017-11-09 15:07:56,11,-65,32.1041714027524,35.20745295099914,612,91,WIFI
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-11-09 15:08:39,1,-50,32.103131711483,35.207321187481284,689,93,WIFI
ec:8c:a2:09:93:b8,Ariel_University,[ESS][BLE],2017-11-09 15:08:39,11,-66,32.103131711483,35.207321187481284,689,93,WIFI
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-11-09 15:08:39,6,-85,32.103131711483,35.207321187481284,689,93,WIFI
